TIME 24 HOURS,COUNTY,PLACE,Date DD/MM/YYYY,NORMALIZED_ROAD,TEXT_CLEAN,FINAL_VEHICLE,ACCIDENT_TYPE_PRED,TIMEOFDAY,ROAD CODE
06:30,MAKUENI,KITUI SCHOOL,2016-06-25,KITUI ITHOKWE,HEAD ON COLLISION,CAR,HEAD ON,MORNING,OTHER
08:30,TAITA TAVETA,IKANGA,2016-06-25,NAIROBI MOMBASA,HEAD ON COLLISION,TRAILER,HEAD ON,MORNING,A109
13:30,KILIFI,KATOLANI,2016-06-25,NAIROBI MOMBASA,THE UNKNOWN CAR HIT THE MOTORCYCLE,CAR,DRIVER FAULT,AFTERNOON,A109
21:00,NAKURU,MAASAI LODGE,2016-06-25,NAKURU NAIROBI,THE CAR KNOCKED DOWN A PERSON WHO WAS CROSSING THE ROAD,CAR,VICTIM FAULT,NIGHT,A104
19:00,MACHAKOS,KIVANDINI,2016-06-25,MWINGI MATUU,THE CAR OVERTOOK A MOTORCYCLE AND LOST CONTROL VEERING OFF THE ROAD & ROLLED,MOTORCYCLE,DRIVER FAULT,EVENING,OTHER
21:30,HOMA BAY,PAP ONDITI,2016-06-25,KATITO KENDU BAY,HIT & RUN,MATATU,HIT AND RUN,NIGHT,OTHER
12:00,KIRINYAGA,MUMATI AREA,2016-06-25,MWEA MAKUTANO,HEAD ON COLLISION,BUS,HEAD ON,AFTERNOON,OTHER
13:30,NAKURU,NEAR OILIBIA,2016-06-24,KENYATTA AVENUE,HEAD ON COLLISION,CAR,HEAD ON,AFTERNOON,OTHER
19:30,NAIROBI,NEAR GULF PETROL STATION,2016-06-24,EASTERN BY PASS,THE CAR KNOCKED DOWN A PERSON WHO WAS CROSSING THE ROAD,CAR,VICTIM FAULT,EVENING,A104E
20:30,KIAMBU,BLUE POST AREA,2016-06-24,THIKA NYERI,THE MOTORCYCLE HIT THE UNKNOWN CAR LOOSING CONTROL AND HIT THE TRAILER,MOTORCYCLE,DRIVER FAULT,EVENING,A2
19:00,MOMBASA,KENANA MARKET,2016-06-24,LINGALUNGA LIKONI,THE TRUCK HIT THE MINI BUS AND LOST CONTROL VEERING OFF THE ROAD AND KNOCKED TWO PEDESTRIANS,TRUCK,DRIVER FAULT,EVENING,OTHER
21:30,HOMA BAY,NEAR KENDU BAY TOWN,2016-06-24,KENDU BAY KASITI,THE TRUCK HIT THE MOTORCYCLE,TRUCK,DRIVER FAULT,NIGHT,OTHER
,NAKURU,NEAR GREEN STED AREA,2016-06-24,NAKURU NAIROBI,HIT & RUN,CAR,HIT AND RUN,NIGHT,A104
03:00,MERU,MAFUKO AREA,2016-06-24,MERU MAUA,THE CAR HIT THE MOTORCYCLE,CAR,DRIVER FAULT,NIGHT,OTHER
11:50,NAKURU,NEAR TUSKYS SUPERMARKET,2016-06-23,NAKURU NAIROBI,THE CAR KNOCKED DOWN THE MOTORCYCLE,CAR,UNKNOWN,MORNING,A104
